ts_utc,venue,ccy,usdt_bid,usdt_ask,usdt_mid,fx_mid_per_usd,basis_bps,source_ok,error
2026-08-10T13:29:38.685291+00:00,IndependentReserve,SGD,1.2773,1.278,1.27765,1.279137,-11.63,True,
2026-08-10T13:29:38.685291+00:00,Coins.ph,PHP,60.7,60.71,60.705,60.834378,-21.27,True,
2026-08-10T13:38:29.903702+00:00,IndependentReserve,SGD,1.2775,1.278,1.27775,1.279137,-10.84,True,
2026-08-10T13:38:29.903702+00:00,Coins.ph,PHP,60.71,60.72,60.715,60.834378,-19.62,True,
2026-08-10T13:38:29.903702+00:00,BTCTurk,TRY,47.61,47.613,47.6115,47.70582,-19.77,True,
2026-08-10T13:38:29.903702+00:00,Upbit,KRW,,,1409.0,1409.640365,-4.54,True,
2026-08-10T13:38:29.903702+00:00,Indodax,IDR,17649.0,17650.0,17649.5,17862.192486,-119.07,True,
2026-08-10T13:38:29.903702+00:00,Bitkub,THB,33.02,33.03,33.025,33.024294,0.21,True,
2026-08-10T13:38:29.903702+00:00,Bitso,MXN,17.134,17.136,17.135,17.140913,-3.45,True,
2026-08-10T13:47:14.674558+00:00,IndependentReserve,SGD,1.2776,1.278,1.2778,1.279137,-10.45,True,
2026-08-10T13:47:14.674558+00:00,Coins.ph,PHP,60.72,60.73,60.725,60.834378,-17.98,True,
2026-08-10T13:47:14.674558+00:00,BTCTurk,TRY,47.61,47.611,47.6105,47.70582,-19.98,True,
2026-08-10T13:47:14.674558+00:00,Upbit,KRW,,,1410.0,1409.640365,2.55,True,
2026-08-10T13:47:14.674558+00:00,Indodax,IDR,17645.0,17646.0,17645.5,17862.192486,-121.31,True,
2026-08-10T13:47:14.674558+00:00,Bitkub,THB,33.02,33.03,33.025,33.024294,0.21,True,
2026-08-10T13:47:14.674558+00:00,Bitso,MXN,17.137,17.139,17.138,17.140913,-1.7,True,
2026-08-10T15:18:39.978378+00:00,IndependentReserve,SGD,1.2775,1.2785,1.278,1.279137,-8.89,True,
2026-08-10T15:18:39.978378+00:00,Coins.ph,PHP,60.72,60.73,60.725,60.834378,-17.98,True,
2026-08-10T15:18:39.978378+00:00,BTCTurk,TRY,47.596,47.611,47.6035,47.70582,-21.45,True,
2026-08-10T15:18:39.978378+00:00,Upbit,KRW,,,1409.0,1409.640365,-4.54,True,
2026-08-10T15:18:39.978378+00:00,Indodax,IDR,17646.0,17647.0,17646.5,17862.192486,-120.75,True,
2026-08-10T15:18:39.978378+00:00,Bitkub,THB,33.02,33.03,33.025,33.024294,0.21,True,
2026-08-10T15:18:39.978378+00:00,Bitso,MXN,17.12,17.121,17.1205,17.140913,-11.91,True,
